2021-07-20 22:51:56: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:51:58: Time: 0
2021-07-20 22:51:58: Time: 1
2021-07-20 22:51:58: Time: 2
2021-07-20 22:51:58: Time: 3
2021-07-20 22:51:58: Time: 4
2021-07-20 22:51:58: Time: 5
2021-07-20 22:51:58: Time: 6
2021-07-20 22:51:58: Time: 7
2021-07-20 22:51:58: Time: 8
2021-07-20 22:51:58: Time: 9
2021-07-20 22:51:58: Time: 10
2021-07-20 22:51:58: Time: 11
2021-07-20 22:51:58: Time: 12
2021-07-20 22:51:58: Time: 13
2021-07-20 22:51:58: Time: 14
2021-07-20 22:51:58: Time: 15
2021-07-20 22:51:58: Time: 16
2021-07-20 22:51:58: Time: 17
2021-07-20 22:51:58: Time: 18
2021-07-20 22:51:58: Time: 19
2021-07-20 22:51:58: Time: 20
2021-07-20 22:51:58: Time: 21
2021-07-20 22:51:58: Time: 22
2021-07-20 22:51:58: Time: 23
2021-07-20 22:51:59: Time: 24
2021-07-20 22:51:59: Time: 25
2021-07-20 22:51:59: Time: 26
2021-07-20 22:51:59: Time: 27
2021-07-20 22:51:59: Time: 28
2021-07-20 22:51:59: Time: 29
2021-07-20 22:51:59: Time: 30
2021-07-20 22:51:59: Time: 31
2021-07-20 22:51:59: Time: 32
2021-07-20 22:51:59: Time: 33
2021-07-20 22:51:59: Time: 34
2021-07-20 22:51:59: Time: 35
2021-07-20 22:51:59: Time: 36
2021-07-20 22:51:59: Time: 37
2021-07-20 22:51:59: Time: 38
2021-07-20 22:51:59: Time: 39
2021-07-20 22:51:59: Time: 40
2021-07-20 22:51:59: Time: 41
2021-07-20 22:51:59: Time: 42
2021-07-20 22:51:59: Time: 43
2021-07-20 22:51:59: Time: 44
2021-07-20 22:51:59: Time: 45
2021-07-20 22:51:59: Time: 46
2021-07-20 22:51:59: Time: 47
2021-07-20 22:51:59: Time: 48
2021-07-20 22:51:59: Time: 49
2021-07-20 22:51:59: Time: 50
2021-07-20 22:51:59: Time: 51
2021-07-20 22:51:59: Time: 52
2021-07-20 22:51:59: Time: 53
2021-07-20 22:52:00: Time: 54
2021-07-20 22:52:00: Time: 55
2021-07-20 22:52:00: Time: 56
2021-07-20 22:52:00: Time: 57
2021-07-20 22:52:00: Time: 58
