x,u
-1.0,-2.231448325406694
-0.96875,-2.0855261829069685
-0.9375,-1.9557960759885005
-0.90625,-1.8404630440643233
-0.875,-1.737896880997544
-0.84375,-1.6466213628406108
-0.8125,-1.565303841496954
-0.78125,-1.4927452043049934
-0.75,-1.4278701995445235
-0.71875,-1.369718127865463
-0.6875,-1.3174338996389814
-0.65625,-1.2702594582309925
-0.625,-1.2275255691980231
-0.59375,-1.1886439754054492
-0.5625,-1.1530999180681056
-0.53125,-1.120445023713267
-0.5,-1.0902905570659993
-0.46875,-1.0623010398568817
-0.4375,-1.036188235552102
-0.40625,-1.0117055000059219
-0.375,-0.9886424980355129
-0.34375,-0.966820285918165
-0.3125,-0.946086759810866
-0.28125,-0.9263124700922514
-0.25,-0.9073868016269265
-0.21875,-0.889214519952159
-0.1875,-0.8717126833869439
-0.15625,-0.8548079210634384
-0.125,-0.8384340768807687
-0.09375,-0.8225302193812085
-0.0625,-0.8070390175487273
-0.03125,-0.7919054825299123
0.0,-0.7770760752772587
0.03125,-0.7624981801148337
0.0625,-0.7481199442263101
0.09375,-0.7338904830653729
0.125,-0.7197604516884945
0.15625,-0.7056829820100844
0.1875,-0.6916149859800071
0.21875,-0.6775188246834741
0.25,-0.663364343363304
0.28125,-0.6491312723645568
0.3125,-0.6348119940015383
0.34375,-0.6204146753471744
0.375,-0.6059667669447597
0.40625,-0.5915188674420742
0.4375,-0.5771489541478729
0.46875,-0.5629669795107473
0.5,-0.5491198335203558
0.53125,-0.5357966720310282
0.5625,-0.5232346110077393
0.59375,-0.5117247866944544
0.625,-0.501618781704847
0.65625,-0.4933354170353858
0.6875,-0.48736791000079527
0.71875,-0.4842913980918851
0.75,-0.4847708287557532
0.78125,-0.48956921509835805
0.8125,-0.4995562575094636
0.84375,-0.5157173312099548
0.875,-0.5391628397215242
0.90625,-0.5711379342587306
0.9375,-0.6130325990434287
0.96875,-0.6663921025415684
1.0,-0.7329278146223688
